Vigencia,Zona A,Zona B,Zona C,Zona Fronteriza
01/01/2020,123.22,Eliminada,Eliminada,185.56
01/01/2019,102.68,Eliminada,Eliminada,176.72
01/01/2018,88.36,Eliminada,Eliminada,
01/01/2017,80.04,Eliminada,Eliminada,
01/01/2016,73.04,Eliminada,Eliminada,
01/10/2015,70.1,Eliminada,Eliminada,
01/04/2015,70.1,68.28,Eliminada,
01/01/2015,70.1,66.45,Eliminada,
01/01/2014,67.29,63.77,Eliminada,
01/01/2013,64.76,61.38,Eliminada,
27/11/2012,62.33,59.08,Eliminada,
01/01/2012,62.33,60.57,59.08,
01/01/2011,59.82,58.13,56.7,
01/01/2010,57.46,55.84,54.47,
01/01/2009,54.8,53.26,51.95,
01/01/2008,52.59,50.96,49.5,
01/01/2007,50.57,49,47.6,
01/01/2006,48.67,47.16,45.81,
01/01/2005,46.8,45.35,44.05,
01/01/2004,45.24,43.73,42.11,
01/01/2003,43.65,41.85,40.3,
01/01/2002,42.15,40.1,38.3,
01/01/2001,40.35,37.95,35.85,
01/01/2000,37.9,35.1,32.7,
03/12/1998,34.45,31.9,29.7,
01/01/1998,30.2,28,26.05,
03/12/1996,26.45,24.5,22.5,
01/04/1996,22.6,20.95,19.05,
04/12/1995,20.15,18.7,17,
01/04/1995,18.3,17,15.44,
01/01/1995,16.34,15.18,13.79,
01/01/1994,15.27,14.19,12.89,
01/01/1993,14.27,13.26,12.05,
11/11/1991,"13,330.00","12,320.00","11,115.00",
16/11/1990,"11,900.00","11,000.00","9,920.00",
04/12/1989,"10,080.00","9,325.00","8,405.00",
01/07/1989,"9,160.00","8,475.00","7,640.00",
01/01/1989,"8,640.00","7,995.00","7,205.00",
01/03/1988,"8,000.00","7,405.00","6,670.00",
01/01/1988,"7,765.00","7,190.00","6,475.00",
16/12/1987,"6,470.00","5,990.00","5,395.00",
01/10/1987,"5,625.00","5,210.00","4,690.00",
01/07/1987,"4,500.00","4,165.00","3,750.00",
01/04/1987,"3,660.00","3,385.00","3,045.00",
01/01/1987,"3,050.00","2,820.00","2,535.00",
22/10/1986,"2,480.00","2,290.00","2,060.00",
01/06/1986,"2,065.00","1,900.00","1,675.00",
01/01/1986,"1,650.00","1,520.00","1,340.00",
04/06/1985,"1,250.00","1,150.00","1,015.00",
01/01/1985,"1,060.00",975,860,
11/06/1984,816,750,660,
01/01/1984,680,625,550,
14/06/1983,523,478,421,
01/01/1983,455,415,365,
01/11/1982,364,358,332,
01/01/1982,280,275,255,
